T (s),R,RMSE,MAE,MAPE,PP
0.01,0.9229203630018212,0.9463821053504944,0.7553353309631348,23.613265991210938,0.845583438873291
0.02,0.9190648396621225,0.9906039834022522,0.7931819558143616,27.0992431640625,0.8312249183654785
0.022,0.923338636547032,0.9476680159568787,0.7595980763435364,28.612958908081055,0.8456383943557739
0.025,0.9229520095357483,1.0736812353134155,0.8672987222671509,39.94331359863281,0.8021564483642578
0.029,0.9141349815493125,1.0286725759506226,0.8189876079559326,111.9693603515625,0.8191008567810059
0.03,0.9216913245170816,0.9556320905685425,0.7605957388877869,43.70561981201172,0.8440159559249878
0.032,0.919088248717339,0.9797253012657166,0.7819992899894714,34.97325134277344,0.8364494442939758
0.035,0.9200093009650921,0.9792237877845764,0.7873552441596985,46.01591110229492,0.8373068571090698
0.036,0.9116546541846334,1.0245554447174072,0.8155674338340759,42.53288650512695,0.8221823573112488
0.04,0.9168812603256016,0.980726957321167,0.7819846272468567,35.51075744628906,0.8377588987350464
0.042,0.9199503179592297,0.9589546322822571,0.7624713182449341,33.92926025390625,0.8453165888786316
0.044,0.9155250174009344,0.9842833280563354,0.7770625352859497,100.87151336669922,0.8374918699264526
0.045,0.9145149942131667,0.997460663318634,0.7895703911781311,64.00678253173828,0.8332439661026001
0.046,0.9131940401615378,1.0650649070739746,0.8458835482597351,45.805118560791016,0.8100106120109558
0.048,0.9129087527521725,1.0123229026794434,0.8052382469177246,33.13973617553711,0.8286626935005188
0.05,0.917763377266401,0.9790127873420715,0.773859977722168,32.53923034667969,0.8399714231491089
0.055,0.9120654474031445,1.0372884273529053,0.8264407515525818,51.438968658447266,0.821172833442688
0.06,0.9070241988871985,1.0489555597305298,0.8322827219963074,45.04759216308594,0.8180786371231079
0.065,0.9049571579558173,1.1120082139968872,0.8946886658668518,64.7386703491211,0.7974165678024292
0.067,0.9080905172694511,1.0600017309188843,0.8383634090423584,43.35223388671875,0.8165981769561768
0.07,0.9115217272017966,1.046583890914917,0.8382368683815002,36.26778793334961,0.8220489621162415
0.075,0.9058788264985906,1.0554962158203125,0.8366836905479431,46.09983444213867,0.820408046245575
0.08,0.8995321910485241,1.0972453355789185,0.8654729723930359,282.01971435546875,0.80772864818573
0.085,0.9039562399939612,1.1080766916275024,0.8680092096328735,73.3060073852539,0.804900050163269
0.09,0.9009117923470765,1.1216492652893066,0.8963536024093628,102.09104919433594,0.8011507987976074
0.095,0.90258440634149,1.0993813276290894,0.8809687495231628,90.40094757080078,0.8099450469017029
0.1,0.9013717455576882,1.1153935194015503,0.9000426530838013,54.75814437866211,0.8054322004318237
0.11,0.9004004239250083,1.1147210597991943,0.889403223991394,78.02325439453125,0.8071768283843994
0.12,0.9067661515772107,1.0800373554229736,0.8686423301696777,7192.69580078125,0.819532573223114
0.13,0.905892717041591,1.0991778373718262,0.8708738684654236,48.93397903442383,0.8131663799285889
0.133,0.908409087435939,1.1048146486282349,0.8883394598960876,54.039127349853516,0.8111698627471924
0.14,0.9032847008884893,1.0993355512619019,0.8759480714797974,101.70638275146484,0.8127516508102417
0.15,0.9076477493034625,1.0722575187683105,0.8564828634262085,104.62678527832031,0.8215685486793518
0.16,0.9096350625860179,1.0601905584335327,0.8568245768547058,117.33854675292969,0.8252588510513306
0.17,0.9047569682465723,1.102410078048706,0.8797385692596436,69.23233032226562,0.8101333975791931
0.18,0.9049492720191991,1.110585331916809,0.8921579718589783,543.1500244140625,0.8069014549255371
0.19,0.9078874191856933,1.1045414209365845,0.8916649222373962,89.82254791259766,0.8089839816093445
0.2,0.8971156004277793,1.179875135421753,0.9469624757766724,102.93359375,0.780707061290741
0.22,0.9034293723147488,1.1029070615768433,0.8894245028495789,188.13755798339844,0.8059963583946228
0.24,0.9059956272610854,1.0713648796081543,0.8473141193389893,63.07878494262695,0.8147196173667908
0.25,0.9161503961916835,1.0253475904464722,0.8209369778633118,54.88063049316406,0.8297695517539978
0.26,0.9124880192218859,1.0528039932250977,0.8335671424865723,50.53355026245117,0.8201420903205872
0.28,0.9197842567931558,0.9949750900268555,0.7900750637054443,64.21102905273438,0.8378603458404541
0.29,0.9180218091732442,0.9882811307907104,0.7849617600440979,68.30326080322266,0.839630663394928
0.3,0.9201394498108714,1.0351355075836182,0.8276865482330322,67.2847671508789,0.8237443566322327
0.32,0.9102618273864806,1.063770055770874,0.8342736959457397,88.41268157958984,0.8124182224273682
0.34,0.9205738611119096,0.9641728401184082,0.7694704532623291,37.034671783447266,0.8447459936141968
0.35,0.9213214014454671,0.9670549035072327,0.7634575963020325,39.83056640625,0.8431888818740845
0.36,0.9143771719749112,0.9958395957946777,0.7889516353607178,38.3765983581543,0.8330568075180054
0.38,0.9244633043876462,0.9649117588996887,0.7600167989730835,62.90336990356445,0.8421540260314941
0.4,0.916283026872897,0.9934606552124023,0.7815510034561157,37.65099334716797,0.8313124179840088
0.42,0.9245826322848282,0.9326303005218506,0.7409590482711792,33.808101654052734,0.8502402305603027
0.44,0.9215395141688594,0.9349672198295593,0.7353869080543518,42.24494552612305,0.8490702509880066
0.45,0.9244958283157191,0.9196674823760986,0.7276137471199036,42.316593170166016,0.8536511659622192
0.46,0.9288965448911485,0.8913166522979736,0.6979889869689941,91.52046966552734,0.8622764348983765
0.48,0.9294788086523882,0.8868991732597351,0.7004597783088684,31.80938720703125,0.8632805943489075
0.5,0.9295239152148631,0.8939744234085083,0.7018739581108093,29.75345230102539,0.8600115776062012
0.55,0.9212209972665065,0.924130916595459,0.7345659732818604,53.6545524597168,0.8480350971221924
0.6,0.9309658819352328,0.8803675174713135,0.6989495754241943,40.76435089111328,0.8604462146759033
0.65,0.9306349362302117,0.9070339202880859,0.7213230729103088,121.03023529052734,0.8504170775413513
0.667,0.9301682682318758,0.8669443130493164,0.6879228353500366,31.23348045349121,0.8630228042602539
0.7,0.9333289790194111,0.8412647247314453,0.6637378931045532,26.920223236083984,0.870685338973999
0.75,0.9298044620799757,0.8683923482894897,0.6924101114273071,26.924795150756836,0.8615193963050842
0.8,0.9331395386930843,0.8398028612136841,0.6654438972473145,24.063682556152344,0.8699554204940796
0.85,0.931329514097302,0.8498963713645935,0.6783583164215088,29.83737564086914,0.8659434914588928
0.9,0.9341113376401918,0.8933266401290894,0.7132201790809631,170.13006591796875,0.851288914680481
0.95,0.9301343566018534,0.8642480969429016,0.6888367533683777,25.41722869873047,0.8599013686180115
1.0,0.9335096650134758,0.8291823863983154,0.660017728805542,31.317251205444336,0.8701919317245483
1.1,0.9337374287929525,0.8316119909286499,0.6680622696876526,21.188791275024414,0.8685123920440674
1.2,0.935458246385435,0.8124615550041199,0.6498998999595642,17.30651092529297,0.8729891777038574
1.3,0.9362949417754708,0.8150417804718018,0.6456575393676758,16.177268981933594,0.8713482618331909
1.4,0.9304852171017047,0.8347575068473816,0.6632094383239746,17.881103515625,0.8643372058868408
1.5,0.9329062335721563,0.8422276973724365,0.6710161566734314,19.82404136657715,0.8614930510520935
1.6,0.9352684321620933,0.8665876388549805,0.6916284561157227,15.829235076904297,0.8530653715133667
1.7,0.9253475420364634,0.9250544309616089,0.7398607730865479,16.973308563232422,0.831878125667572
1.8,0.932304036569771,0.8572928309440613,0.6788330674171448,15.672005653381348,0.8554494976997375
1.9,0.922501079758646,0.8925045132637024,0.7100334167480469,16.921138763427734,0.8437792658805847
2.0,0.9293313378670323,0.837624192237854,0.6594485640525818,14.668357849121094,0.8628047704696655
2.2,0.9332638545936642,0.8165425658226013,0.6496552228927612,14.154860496520996,0.8696435689926147
2.4,0.9368518907869902,0.8037919402122498,0.6417811512947083,12.800629615783691,0.8736215829849243
2.5,0.9376407922721931,0.7977131009101868,0.640847384929657,12.932148933410645,0.8755295872688293
2.6,0.9385627968885076,0.8130519986152649,0.656143844127655,12.839622497558594,0.870771050453186
2.8,0.9382344203180103,0.8656214475631714,0.6971541047096252,12.752148628234863,0.8541231155395508
3.0,0.9380220408642496,0.7871827483177185,0.6247811317443848,11.926878929138184,0.8797690272331238
3.2,0.9377820745837502,0.8106567859649658,0.646686315536499,11.595056533813477,0.8731967210769653
3.4,0.9425962545950562,0.7666857838630676,0.610840380191803,10.935577392578125,0.887245774269104
3.5,0.9407596251901471,0.7838886976242065,0.6261935234069824,11.123127937316895,0.8824100494384766
3.6,0.9428535780372421,0.7686939835548401,0.610838770866394,10.734546661376953,0.8869302272796631
3.8,0.94456370508392,0.8112923502922058,0.6411746144294739,11.142641067504883,0.8742743730545044
4.0,0.941646260771955,0.7885384559631348,0.623710572719574,10.496315002441406,0.8818324208259583
4.2,0.92829299441533,0.8902903199195862,0.7156289219856262,11.556787490844727,0.8501052260398865
4.4,0.9449757232594667,0.7533552646636963,0.5894703269004822,10.005766868591309,0.8930522203445435
4.6,0.9428048409555955,0.8410980701446533,0.672534167766571,11.13291072845459,0.8670021891593933
4.8,0.9472302601914137,0.7639930248260498,0.6103561520576477,9.783187866210938,0.890449583530426
5.0,0.9476212226798584,0.7409014105796814,0.5730364918708801,9.391969680786133,0.8973097801208496
5.5,0.94496618908325,0.8288870453834534,0.6674801707267761,10.074811935424805,0.8734155893325806
6.0,0.9466447410465163,0.764147937297821,0.6006079912185669,9.189488410949707,0.8935615420341492
6.5,0.9562239006702341,0.7235923409461975,0.5548288822174072,8.550678253173828,0.9053580164909363
7.0,0.9472062486652171,0.7876307368278503,0.6107646822929382,8.704031944274902,0.8887752294540405
7.5,0.9565960026791807,0.7195581197738647,0.5621260404586792,7.9617180824279785,0.9076946973800659
8.0,0.9580476847814383,0.7073903679847717,0.5479499697685242,8.148835182189941,0.9109036922454834
8.5,0.96263565399732,0.7514069676399231,0.5932742357254028,8.340082168579102,0.8993263840675354
9.0,0.9570783385517032,0.6989065408706665,0.5407505631446838,7.6349711418151855,0.9132574200630188
9.5,0.9616058180235788,0.6516593098640442,0.498399943113327,6.574511528015137,0.9246654510498047
10.0,0.9647838706481993,0.6774781942367554,0.5297675132751465,6.63525390625,0.9187565445899963
