Model,Period_s,RMSE,R2,Sigma,Bias
ANN,0.48,0.7963012,0.8868486285209656,0.7959205,-0.024617849
ANN,0.5,0.78985435,0.8879685401916504,0.78947014,-0.02461453
ANN,0.55,0.78097993,0.8890896439552307,0.78081113,-0.016260425
ANN,0.6,0.7749464,0.88945472240448,0.7747443,-0.01776188
ANN,0.65,0.7666565,0.8907163739204407,0.7664539,-0.017629536
ANN,0.667,0.7675631,0.8901620507240295,0.76732934,-0.018937597
ANN,0.7,0.76884204,0.8893613219261169,0.76871765,-0.013812242
ANN,0.75,0.76998466,0.8881905674934387,0.769755,-0.018834786
ANN,0.8,0.77372557,0.8866256475448608,0.77350366,-0.01852211
ANN,0.85,0.7688717,0.8873105645179749,0.7687196,-0.015310391
ANN,0.9,0.7700297,0.8865466117858887,0.7698481,-0.01672005
ANN,0.95,0.76677257,0.8871190547943115,0.7666079,-0.015880728
ANN,1.0,0.7631098,0.8876293301582336,0.76289266,-0.01821467
ANN,1.1,0.7596197,0.8879767060279846,0.75949866,-0.013567174
ANN,1.2,0.76090926,0.886506974697113,0.7608681,-0.00793084
ANN,1.3,0.76595396,0.8843646049499512,0.76594824,-0.002733476
ANN,1.4,0.77061874,0.8827236294746399,0.77061826,-0.0008357823
ANN,1.5,0.77015036,0.8823496103286743,0.770146,0.00223499
ANN,1.6,0.770593,0.8819253444671631,0.77059376,-0.00019908254
ANN,1.7,0.7777703,0.8791475296020508,0.77776986,-0.0011253601
ANN,1.8,0.7740748,0.8802738785743713,0.7740683,-0.0032422065
ANN,1.9,0.7752309,0.8802591562271118,0.77521265,-0.0053678234
ANN,2.0,0.7718512,0.8814988732337952,0.7718365,-0.004859034
ANN,2.2,0.76817405,0.8824942708015442,0.7681547,-0.005448028
ANN,2.4,0.76194555,0.8850560784339905,0.76193696,-0.0037846724
ANN,2.5,0.75924397,0.8860083818435669,0.7592254,-0.0053417194
ANN,2.6,0.75405043,0.8878560066223145,0.7540383,-0.00437565
ANN,2.8,0.7480968,0.890060544013977,0.7480731,-0.00600321
ANN,3.0,0.7408219,0.8923342227935791,0.7408079,-0.0044747265
ANN,3.2,0.7392612,0.8933749198913574,0.7392352,-0.0062457104
ANN,3.4,0.73808044,0.8944904208183289,0.7380568,-0.00580499
ANN,3.5,0.732063,0.8965418338775635,0.73204875,-0.0044481517
ANN,3.6,0.7294135,0.8973706364631653,0.729402,-0.0040229894
ANN,3.8,0.72766274,0.8980334997177124,0.72764766,-0.0046933107
ANN,4.0,0.7220764,0.9000061750411987,0.7220531,-0.005929982
ANN,4.2,0.71564496,0.9019472599029541,0.7156344,-0.003923049
ANN,4.4,0.7102569,0.9036856293678284,0.7102488,-0.0033642997
ANN,4.6,0.7021177,0.9061862230300903,0.70210934,-0.0034939395
ANN,4.8,0.69377404,0.9086951017379761,0.6937636,-0.003860953
ANN,5.0,0.69000787,0.9099957346916199,0.6899729,-0.0069914083
ANN,5.5,0.67502606,0.9150609374046326,0.674998,-0.0061374716
ANN,6.0,0.65997475,0.9196420311927795,0.65992147,-0.008400704
ANN,6.5,0.6456529,0.9236602783203125,0.6455459,-0.011753321
ANN,7.0,0.6399845,0.9255828857421875,0.6397725,-0.016488748
ANN,7.5,0.6329149,0.9275361895561218,0.63262117,-0.019278195
ANN,8.0,0.62581897,0.9294822216033936,0.6253353,-0.02458401
ANN,8.5,0.616011,0.9318795800209045,0.61541235,-0.027157582
ANN,9.0,0.60487777,0.9345446825027466,0.60417414,-0.02915416
ANN,9.5,0.5957559,0.9366953372955322,0.5952096,-0.02550438
ANN,10.0,0.5933189,0.9374637007713318,0.5928213,-0.02429415
BNN,0.01,1.1056118,0.782588005065918,1.1021457,0.087489955
BNN,0.02,1.0763959,0.7944375872612,1.0596389,0.18919528
BNN,0.022,1.1178501,0.7784218788146973,1.0968524,0.21564807
BNN,0.025,1.1339388,0.7723004221916199,1.1332014,-0.04089516
BNN,0.029,1.1583148,0.7633829116821289,1.1581624,-0.01878571
BNN,0.03,1.1305422,0.7748312950134277,1.1298474,0.039627753
BNN,0.032,1.1424162,0.7706324458122253,1.1418062,0.037285637
BNN,0.035,1.156698,0.765948474407196,1.156377,0.02727009
BNN,0.036,1.1722227,0.7599930167198181,1.1511555,0.22124246
BNN,0.04,1.1672782,0.7631124258041382,1.1566646,0.15705018
BNN,0.042,1.1663858,0.7642050385475159,1.1504834,0.19195205
