,Mean RMSE,Mean R²,Mean σ,Mean |Bias|,Train Time(s)
ANN,0.8178502321243286,0.8798489587647574,0.8177251815795898,0.010807057842612267,5.649817943572998
BNN,1.084930658340454,0.7889280296507336,1.0752843618392944,0.12064801156520844,3.244188070297241
BNN-Improved,0.918792724609375,0.8479666147913252,0.9109553694725037,0.09424517303705215,18.08600115776062
CGAN,2.4326419830322266,-0.13751528887521652,1.369594931602478,1.944449782371521,22.58318305015564
CVAE,0.8565862774848938,0.8683790910811652,0.8465457558631897,0.12273450940847397,6.256140232086182
